domain,target,rank,feature,mutual_info,tree_accuracy,tree_macro_f1,tree_rule
IGP24,t,1,support_face,0.22685234409439617,1.0,1.0,"|--- support_face_x13_x15_x17 <= 0.50
|   |--- class: 24979
|--- support_face_x13_x15_x17 >  0.50
|   |--- class: 25000
"
IGP24,t,2,support_bucket,0.22685234409439617,1.0,1.0,"|--- support_bucket_x13_x15_x17 <= 0.50
|   |--- class: 24979
|--- support_bucket_x13_x15_x17 >  0.50
|   |--- class: 25000
"
IGP24,t,3,support_index,0.15126771072781353,1.0,1.0,"|--- support_index <= 12.50
|   |--- class: 24979
|--- support_index >  12.50
|   |--- class: 25000
"
IGP24,t,4,active_support_slots,0.14431592915317223,1.0,1.0,"|--- active_support_slots_12 <= 0.50
|   |--- class: 25000
|--- active_support_slots_12 >  0.50
|   |--- class: 24979
"
IGP24,t,5,a18_abs,0.048628365280678265,0.9772727272727273,0.4942528735632184,"|--- a18_abs <= 18.50
|   |--- a18_abs <= 4.50
|   |   |--- class: 25000
|   |--- a18_abs >  4.50
|   |   |--- class: 25000
|--- a18_abs >  18.50
|   |--- a18_abs <= 71.50
|   |   |--- class: 25000
|   |--- a18_abs >  71.50
|   |   |--- a18_abs <= 72.50
|   |   |   |--- class: 25000
|   |   |--- a18_abs >  72.50
|   |   |   |--- class: 25000
"
IGP24,t,6,support_amplitude,0.045688488842240305,0.9772727272727273,0.4942528735632184,"|--- support_amplitude <= 2865247.50
|   |--- support_amplitude <= 3.50
|   |   |--- support_amplitude <= 0.00
|   |   |   |--- class: 25000
|   |   |--- support_amplitude >  0.00
|   |   |   |--- class: 25000
|   |--- support_amplitude >  3.50
|   |   |--- class: 25000
|--- support_amplitude >  2865247.50
|   |--- class: 24979
"
IGP24,t,7,a6_abs,0.034167087030783305,0.9772727272727273,0.4942528735632184,"|--- a6_abs <= 18.50
|   |--- a6_abs <= 4.50
|   |   |--- class: 25000
|   |--- a6_abs >  4.50
|   |   |--- class: 25000
|--- a6_abs >  18.50
|   |--- a6_abs <= 71.50
|   |   |--- class: 25000
|   |--- a6_abs >  71.50
|   |   |--- a6_abs <= 72.50
|   |   |   |--- class: 25000
|   |   |--- a6_abs >  72.50
|   |   |   |--- class: 25000
"
IGP24,t,8,abs_support_amplitude,0.03233641531561404,0.9772727272727273,0.4942528735632184,"|--- abs_support_amplitude <= 2865252.50
|   |--- abs_support_amplitude <= 3.50
|   |   |--- abs_support_amplitude <= 1.50
|   |   |   |--- class: 25000
|   |   |--- abs_support_amplitude >  1.50
|   |   |   |--- class: 25000
|   |--- abs_support_amplitude >  3.50
|   |   |--- abs_support_amplitude <= 7.50
|   |   |   |--- class: 25000
|   |   |--- abs_support_amplitude >  7.50
|   |   |   |--- class: 25000
|--- abs_support_amplitude >  2865252.50
|   |--- class: 24979
"
IGP24,t,9,a6,0.02447584512525336,0.9772727272727273,0.4942528735632184,"|--- a6 <= 18.50
|   |--- a6 <= 4.50
|   |   |--- class: 25000
|   |--- a6 >  4.50
|   |   |--- class: 25000
|--- a6 >  18.50
|   |--- a6 <= 71.50
|   |   |--- class: 25000
|   |--- a6 >  71.50
|   |   |--- a6 <= 72.50
|   |   |   |--- class: 25000
|   |   |--- a6 >  72.50
|   |   |   |--- class: 25000
"
IGP24,t,10,a18,0.023252225955351147,0.9772727272727273,0.4942528735632184,"|--- a18 <= -18.50
|   |--- a18 <= -71.50
|   |   |--- a18 <= -72.50
|   |   |   |--- class: 25000
|   |   |--- a18 >  -72.50
|   |   |   |--- class: 25000
|   |--- a18 >  -71.50
|   |   |--- class: 25000
|--- a18 >  -18.50
|   |--- a18 <= -4.50
|   |   |--- class: 25000
|   |--- a18 >  -4.50
|   |   |--- class: 25000
"
IGP24,t,11,paired_resonance,0.005211665590574899,0.9772727272727273,0.4942528735632184,"|--- paired_resonance <= 0.50
|   |--- class: 25000
|--- paired_resonance >  0.50
|   |--- class: 25000
"
IGP24,t,12,a6_positive,0.004394372382861431,0.9772727272727273,0.4942528735632184,"|--- a6_positive <= 0.50
|   |--- class: 25000
|--- a6_positive >  0.50
|   |--- class: 25000
"
IGP24,t,13,threshold_zone,0.004171898410974158,0.9772727272727273,0.4942528735632184,"|--- threshold_zone_boundary <= 0.50
|   |--- threshold_zone_low <= 0.50
|   |   |--- class: 25000
|   |--- threshold_zone_low >  0.50
|   |   |--- class: 25000
|--- threshold_zone_boundary >  0.50
|   |--- class: 25000
"
IGP24,t,14,a6_negative,0.003603939376581669,0.9772727272727273,0.4942528735632184,"|--- a6_negative <= 0.50
|   |--- class: 25000
|--- a6_negative >  0.50
|   |--- class: 25000
"
IGP24,t,15,reverse_resonance,0.003603939376581669,0.9772727272727273,0.4942528735632184,"|--- reverse_resonance <= 0.50
|   |--- class: 25000
|--- reverse_resonance >  0.50
|   |--- class: 25000
"
