coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,coeff_11,coeff_12,coeff_13,coeff_14,coeff_15,coeff_16,coeff_17,coeff_18,coeff_19,coeff_20,coeff_21,coeff_22,coeff_23,coeff_24,support_index,support_amplitude,a6,a18,t,r,label,experiment,holdout,abs_support_amplitude,a6_positive,a6_negative,a6_abs,a18_abs,support_nonzero_count,active_support_slots,paired_resonance,reverse_resonance,support_face,support_bucket,threshold_zone
0,0,0,0,0,0,-90,0,0,0,0,0,124,0,0,0,0,0,-140,0,0,0,0,0,0,12,124,-90,-140,24979,2,t=24979;r=2,igp24_synthetic,False,124,False,True,90,140,1,12,False,True,x12_base,x12_base,low
0,0,0,0,0,0,-90,0,0,0,0,0,0,107,0,0,0,0,-140,0,0,0,0,0,0,13,107,-90,-140,25000,2,t=25000;r=2,igp24_synthetic,False,107,False,True,90,140,1,13,False,True,x13_x15_x17,x13_x15_x17,low
0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,-96,0,0,-140,0,0,0,0,0,0,15,-96,-90,-140,25000,2,t=25000;r=2,igp24_synthetic,False,96,False,True,90,140,1,15,False,True,x13_x15_x17,x13_x15_x17,low
0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,-95,-140,0,0,0,0,0,0,17,-95,-90,-140,25000,2,t=25000;r=2,igp24_synthetic,False,95,False,True,90,140,1,17,False,True,x13_x15_x17,x13_x15_x17,low
0,0,0,0,0,0,-72,0,0,0,0,0,124,0,0,0,0,0,-140,0,0,0,0,0,0,12,124,-72,-140,24979,2,t=24979;r=2,igp24_synthetic,False,124,False,True,72,140,1,12,False,True,x12_base,x12_base,low
0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,122,-140,0,0,0,0,0,0,17,122,-72,-140,25000,2,t=25000;r=2,igp24_synthetic,False,122,False,True,72,140,1,17,False,True,x13_x15_x17,x13_x15_x17,low
0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,124,-140,0,0,0,0,0,0,17,124,-72,-140,25000,2,t=25000;r=2,igp24_synthetic,False,124,False,True,72,140,1,17,False,True,x13_x15_x17,x13_x15_x17,low
0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,138,0,0,-140,0,0,0,0,0,0,15,138,-72,-140,25000,2,t=25000;r=2,igp24_synthetic,False,138,False,True,72,140,1,15,False,True,x13_x15_x17,x13_x15_x17,low
0,0,0,0,0,0,-30,0,0,0,0,0,0,125,0,0,0,0,-140,0,0,0,0,0,0,13,125,-30,-140,25000,2,t=25000;r=2,igp24_synthetic,False,125,False,True,30,140,1,13,False,True,x13_x15_x17,x13_x15_x17,low
0,0,0,0,0,0,-30,0,0,0,0,0,-134,0,0,0,0,0,-140,0,0,0,0,0,0,12,-134,-30,-140,24979,2,t=24979;r=2,igp24_synthetic,False,134,False,True,30,140,1,12,False,True,x12_base,x12_base,low
